Model,1st Layer,2nd Layer,3rd Layer,4th Layer
model_109,c_2,c_6,c_8,c_3
model_110,c_4,c_6,c_12,c_11
model_111,c_2,c_5,c_5,c_4
model_112,c_8,c_6,s,-
model_113,c_3,c_3,c_6,c_1
model_114,m_3,c_3,c_11,m_2
model_115,c_8,c_3,s,-
model_116,c_9,c_5,c_2,c_9
model_117,c_1,c_3,c_12,c_12
model_118,c_8,c_5,m_3,c_11
model_119,c_5,c_2,c_3,c_5
model_120,c_12,s,-,-
model_121,m_2,c_11,m_1,c_11
model_122,c_11,m_2,c_12,c_1
model_123,c_5,c_7,m_2,c_7
model_124,c_10,c_6,m_2,-
model_125,c_11,c_10,c_7,c_2
model_126,c_5,c_1,c_10,c_11
model_127,c_2,c_12,m_2,c_4
model_128,c_1,m_1,c_5,m_3
model_129,c_9,c_11,s,-
model_130,m_2,c_5,c_4,c_5
model_131,c_8,c_7,c_4,s
model_132,c_2,c_12,c_3,c_9
model_133,c_12,c_6,c_11,c_5
model_134,c_8,c_5,m_1,c_1
model_135,c_1,m_1,m_3,-
model_136,c_12,m_1,c_11,c_8
model_137,c_11,c_12,m_3,c_3
model_138,c_11,c_3,m_1,c_5
model_139,c_11,m_3,c_5,c_11
model_140,c_7,c_6,c_10,c_1
model_141,c_12,c_10,c_3,m_1
model_142,c_4,c_5,c_12,m_2
model_143,c_12,c_2,s,-
model_144,c_3,m_2,c_12,c_5
model_145,c_10,c_9,c_5,c_6
model_146,c_4,m_3,c_6,s
model_147,c_5,c_12,c_4,c_7
model_148,c_9,m_2,c_5,m_1
model_149,c_11,c_1,c_12,c_9
model_150,c_2,c_12,m_2,c_2
model_151,c_11,s,-,-
model_152,c_2,m_3,c_5,c_11
model_153,c_9,c_6,c_9,c_10
model_154,c_4,c_1,c_8,c_8
model_155,c_1,m_1,c_9,c_8
model_156,c_7,c_4,s,-
model_157,c_9,c_11,c_8,c_2
model_158,c_8,c_8,c_2,c_12
model_159,c_12,c_5,m_1,s
model_160,c_2,c_12,c_10,m_3
model_161,c_11,m_1,c_3,c_9
model_162,c_11,c_5,c_2,c_6
model_163,c_2,c_6,s,-
model_164,c_3,c_4,c_8,c_5
model_165,c_1,m_2,m_3,c_5
model_166,c_9,c_7,s,-
model_167,c_7,c_9,c_1,s
model_168,c_12,c_2,m_1,c_10
model_169,c_12,c_6,c_1,c_8
model_170,c_2,m_3,c_2,c_5
model_171,c_7,m_2,c_11,c_6
model_172,c_4,c_7,c_5,s
model_173,c_5,c_12,m_3,c_5
model_174,c_9,c_9,c_4,s
model_175,c_9,c_4,c_10,c_12
model_176,c_3,c_7,m_1,c_7
model_177,c_7,m_1,c_1,c_2
model_178,c_4,m_2,m_1,c_1
model_179,c_1,c_1,m_3,c_7
model_180,c_5,c_8,c_4,m_2
model_181,c_1,c_6,c_6,m_1
model_182,c_8,c_8,m_1,c_11
model_183,c_5,c_1,c_5,s
model_184,c_6,m_3,m_3,m_2
model_185,c_3,m_2,m_3,c_10
model_186,c_5,m_2,c_6,m_2
model_187,c_3,c_2,c_6,s
model_188,c_6,c_7,m_2,m_3
model_189,c_6,c_8,m_2,c_6
model_190,c_5,m_3,c_6,c_7
model_191,c_8,c_5,c_6,c_6
model_192,c_6,c_12,c_12,c_11
model_193,c_3,m_3,c_7,c_3
model_194,c_3,c_6,c_11,c_3
model_195,c_7,c_7,c_12,c_10
model_196,c_4,c_8,c_2,c_4
model_197,c_2,c_9,c_11,c_6
model_198,c_9,c_1,c_6,m_2
model_199,c_6,m_2,m_1,c_1
model_200,c_12,c_4,c_3,c_2
model_201,c_7,c_2,m_3,c_7
model_202,c_9,c_11,c_2,c_3
model_203,c_2,c_6,m_1,m_2
model_204,c_5,c_9,c_4,c_10
model_205,c_11,c_4,c_12,m_2
model_206,c_7,c_5,m_1,c_6
model_207,c_11,c_10,c_12,c_11
model_208,m_1,c_6,m_1,c_1
model_209,c_4,m_1,c_8,c_1
model_210,c_9,c_8,c_4,m_3
model_211,c_2,c_12,m_1,m_2
model_212,c_10,c_10,c_10,c_10
model_213,c_4,c_6,c_2,c_12
model_214,c_8,c_7,m_2,s
model_215,c_1,c_4,c_4,c_8
model_216,m_2,c_2,c_11,c_2
model_217,c_11,c_5,c_2,m_3
model_218,c_4,c_1,c_8,c_5
model_219,c_7,c_1,c_9,c_1
model_220,c_4,c_7,c_6,m_1
model_221,c_7,c_3,c_8,c_12
model_222,c_4,c_8,c_5,c_8
model_223,c_9,c_9,c_5,c_5
model_224,c_4,c_4,c_7,c_10
model_225,c_5,c_4,c_10,c_9
model_226,m_1,c_11,c_8,c_12
model_227,c_1,c_3,c_11,c_8
model_228,c_7,c_4,c_3,c_10
model_229,c_7,c_6,c_4,s
model_230,c_9,m_1,c_8,c_10
model_231,c_10,m_2,c_12,c_6
model_232,c_12,c_8,c_7,c_7
model_233,c_1,c_4,c_1,c_9
model_234,c_7,c_2,c_5,m_2
model_235,c_10,c_1,c_10,s
model_236,c_5,c_8,m_2,c_4
model_237,m_3,c_11,c_7,c_10
model_238,c_7,c_11,c_11,c_10
model_239,c_12,c_8,c_12,c_4
model_240,c_3,c_4,c_1,c_11
model_241,c_2,m_1,c_9,c_6
model_242,c_2,m_1,c_5,c_6
model_243,c_8,c_1,c_4,s
model_244,c_8,m_1,c_4,c_9
model_245,m_1,c_12,c_6,c_5
model_246,c_6,c_9,m_1,m_3
model_247,c_1,c_11,c_2,c_5
model_248,c_1,s,-,-
model_249,c_11,c_4,c_9,m_1
model_250,c_7,m_2,m_1,c_2
model_251,c_7,c_4,c_12,c_10
model_252,c_6,c_7,c_4,c_5
model_253,c_1,c_1,c_1,c_12
model_254,c_4,c_4,m_3,m_1
model_255,c_4,c_11,c_10,c_12
model_256,c_10,c_8,c_12,c_7
model_257,c_5,c_10,c_6,c_9
model_258,c_8,c_7,c_3,-
model_259,c_12,c_3,c_6,s
model_260,c_3,c_3,c_10,c_5
model_261,c_10,c_9,c_10,c_3
model_262,m_2,c_10,c_2,-
model_263,c_3,c_11,c_8,-
model_264,c_9,c_2,c_4,c_5
model_265,c_7,m_1,c_12,c_4
model_266,c_5,m_3,c_8,m_2
model_267,c_5,m_3,c_12,s
model_268,c_3,c_7,c_3,m_2
model_269,c_7,c_10,c_11,c_7
model_270,c_5,c_1,c_1,m_1
model_271,c_11,c_6,c_7,c_7
model_272,c_5,m_3,s,-
model_273,c_4,c_6,c_10,c_7
model_274,c_2,c_6,c_3,c_5
model_275,c_6,c_3,c_12,c_7
model_276,c_5,c_7,c_5,c_7
model_277,c_12,c_2,c_4,c_12
model_278,c_6,c_2,m_2,c_6
model_279,c_5,c_10,c_6,c_8
model_280,c_2,c_1,c_7,c_12
model_281,c_4,c_2,c_6,c_12
model_282,c_6,c_10,m_1,c_8
model_283,c_10,c_2,c_11,c_6
model_284,c_8,c_2,c_8,c_8
model_285,c_9,c_5,m_3,c_6
model_286,c_8,c_11,c_10,c_11
model_287,c_2,c_1,c_7,m_3
model_288,c_5,c_9,m_1,c_1
model_289,c_12,m_1,c_8,c_7
model_290,c_4,c_8,c_2,c_11
model_291,c_9,c_9,c_6,c_12
model_292,m_1,c_6,c_7,m_3
model_293,c_6,c_2,c_10,m_1
model_294,c_12,m_2,c_4,c_9
model_295,c_9,c_8,c_5,c_5
model_296,c_9,c_6,c_9,c_3
model_297,c_3,c_7,c_11,c_6
model_298,c_5,c_10,c_10,c_3
model_299,m_2,c_3,c_6,-
model_300,c_11,c_6,m_1,c_10
model_301,c_8,c_8,m_1,c_9
model_302,c_2,c_8,c_1,c_4
model_303,c_7,c_9,m_1,c_3
model_304,c_11,m_2,c_11,c_11
model_305,c_8,m_2,m_1,s
model_306,c_9,m_2,m_1,c_7
model_307,c_6,c_4,c_7,c_3
model_308,c_10,c_4,c_10,m_2
model_309,c_1,m_3,c_9,s
model_310,c_3,m_2,m_2,c_4
model_311,c_1,c_10,m_1,c_4
model_312,c_11,c_2,c_7,c_9
model_313,c_4,c_1,c_7,m_2
model_314,c_1,c_5,c_2,s
model_315,c_4,c_7,c_11,c_12
model_316,c_8,c_2,c_2,c_12
model_317,c_6,m_2,c_10,c_7
model_318,c_5,m_2,c_1,c_7
model_319,c_9,c_2,c_7,c_1
model_320,c_8,c_8,c_8,m_1
model_321,c_10,c_4,m_3,c_6
model_322,c_10,c_2,c_6,c_5
model_323,c_9,c_5,c_12,c_9
model_324,c_9,c_7,c_5,s
model_325,c_8,c_3,c_11,c_12
model_326,c_10,c_2,c_3,c_10
model_327,c_8,c_2,c_2,c_5
model_328,c_2,c_6,c_2,c_8
model_329,c_10,c_2,c_7,c_10
model_330,c_5,c_12,s,-
model_331,c_10,c_10,c_5,c_3
model_332,c_11,c_5,c_3,c_5
model_333,c_8,s,-,-
model_334,c_6,c_9,c_10,c_11
model_335,c_11,m_1,m_2,c_1
model_336,c_8,c_6,m_1,m_2
model_337,c_6,c_9,c_4,c_10
model_338,c_11,c_8,c_5,c_12
model_339,c_4,c_11,c_11,c_2
model_340,c_2,m_2,c_12,c_5
model_341,c_12,m_1,c_9,m_3
model_342,c_7,c_12,s,-
model_343,c_6,m_1,c_7,c_4
model_344,c_1,c_12,m_1,c_5
model_345,c_7,c_7,m_2,c_2
model_346,c_6,m_1,s,-
model_347,c_1,c_3,m_1,c_10
model_348,c_3,c_10,c_9,c_8
model_349,c_2,c_3,c_1,c_5
model_350,c_2,c_1,c_11,c_6
model_351,c_2,c_1,c_7,c_1
model_352,c_8,c_3,c_6,c_1
model_353,c_10,c_4,c_1,m_3
model_354,c_6,c_7,m_1,c_4
model_355,c_3,c_12,c_9,c_9
model_356,c_4,c_10,c_4,c_4
model_357,c_2,c_6,c_1,m_3
model_358,c_7,m_3,c_12,m_2
model_359,c_2,c_2,c_1,m_1
model_360,c_3,c_1,c_10,m_3
model_361,c_8,c_11,c_9,c_12
model_362,c_4,c_6,m_1,m_2
model_363,c_6,c_2,m_3,c_7
model_364,c_12,c_1,c_6,m_2
model_365,c_7,c_1,c_6,c_7
model_366,c_7,c_9,c_9,c_10
model_367,m_3,m_3,c_5,c_3
model_368,c_11,c_3,c_9,c_3
model_369,c_3,c_7,c_10,s
model_370,c_9,m_2,c_11,c_5
model_371,c_9,c_2,m_3,c_12
model_372,c_9,c_5,m_3,c_1
model_373,c_5,c_1,m_2,c_9
model_374,c_1,c_3,m_3,c_11
model_375,c_2,m_1,c_6,c_7
model_376,c_9,c_12,c_7,c_11
model_377,c_10,c_2,c_10,c_10
model_378,c_5,c_8,c_12,c_8
model_379,c_5,c_11,c_5,c_6
model_380,c_2,c_3,c_7,m_3
model_381,c_11,c_5,c_5,m_1
model_382,c_1,c_9,c_8,c_5
model_383,c_3,m_3,m_1,c_5
model_384,c_5,c_5,s,-
model_385,c_9,c_1,c_1,m_3
model_386,c_5,c_10,c_6,c_3
model_387,c_10,c_12,c_3,c_4
model_388,c_1,c_11,c_6,c_7
model_389,c_2,c_12,c_11,c_8
model_390,c_7,c_1,c_12,-
model_391,c_9,c_2,c_12,c_11
model_392,c_4,m_3,m_3,c_10
model_393,m_3,c_11,c_10,-
model_394,c_3,c_3,m_1,c_9
model_395,c_11,m_2,m_3,m_3
model_396,c_1,c_2,c_1,c_8
model_397,c_12,c_10,m_1,c_11
model_398,c_3,c_2,m_3,c_1
model_399,m_1,c_11,c_8,m_3
model_400,c_2,c_7,c_5,c_8
model_401,c_2,c_9,c_8,m_2
model_402,c_10,c_6,c_4,c_2
model_403,c_6,c_9,c_1,c_12
model_404,c_2,c_6,c_9,s
model_405,c_12,c_5,c_6,c_11
model_406,c_5,c_10,c_4,c_10
model_407,c_6,c_1,c_5,c_4
model_408,c_7,m_2,c_11,c_1
model_409,c_11,c_6,c_9,c_8
model_410,m_3,c_10,c_3,c_7
model_411,c_2,m_2,c_12,c_1
model_412,c_8,m_2,c_9,c_8
model_413,c_9,m_2,c_11,c_8
model_414,c_12,m_1,c_10,c_1
model_415,c_6,c_4,c_7,c_12
model_416,c_6,c_12,m_3,m_2
model_417,c_4,c_1,m_1,c_4
model_418,c_2,m_2,m_2,s
model_419,c_10,c_5,c_2,c_1
model_420,c_8,c_11,c_2,c_7
model_421,c_2,m_3,c_6,c_8
model_422,c_7,c_2,c_1,c_9
model_423,c_4,c_3,c_5,m_1
model_424,c_3,c_8,c_9,s
model_425,c_2,c_2,c_4,s
model_426,c_12,c_5,c_11,m_3
model_427,c_4,c_12,c_4,c_12
model_428,c_8,c_6,c_7,m_1
model_429,c_5,c_1,c_2,m_3
model_430,c_12,c_7,c_2,c_5
model_431,c_2,c_5,c_6,c_9
model_432,c_2,c_8,m_3,s
model_433,c_10,m_2,m_3,c_9
model_434,c_10,c_1,c_1,c_12
model_435,c_11,c_10,m_2,s
model_436,c_10,m_1,c_6,c_10
model_437,c_8,c_12,c_12,c_4
model_438,c_8,c_9,c_9,c_4
model_439,c_10,c_9,c_7,m_1
model_440,c_5,c_5,c_3,c_11
model_441,c_7,c_3,c_2,c_1
model_442,c_1,m_2,c_10,c_6
model_443,c_5,c_12,c_9,c_3
model_444,c_8,c_11,c_11,c_9
model_445,c_6,m_3,s,-
model_446,c_9,m_3,c_5,m_2
model_447,c_9,c_1,m_1,c_3
model_448,c_2,c_10,c_10,c_9
model_449,c_8,c_12,c_7,s
model_450,c_4,m_1,m_3,c_7
model_451,c_5,m_3,c_3,c_4
model_452,c_8,c_3,c_2,s
model_453,c_7,m_3,m_3,c_11
model_454,c_11,m_1,m_1,m_1
model_455,c_11,c_10,c_5,c_10
model_456,c_1,m_3,m_2,c_6
model_457,c_3,c_10,c_12,c_5
model_458,c_2,c_4,c_9,s
model_459,c_8,c_4,c_10,m_3
model_460,c_1,c_10,m_2,c_8
model_461,c_9,c_11,c_2,c_2
model_462,c_4,c_5,s,-
model_463,c_11,c_6,m_3,m_2
model_464,c_8,c_8,s,-
model_465,c_9,c_9,s,-
model_466,c_11,c_6,s,-
model_467,c_1,c_5,c_2,c_7
model_468,c_9,c_12,c_1,c_7
model_469,c_5,m_3,c_12,c_5
model_470,c_3,m_2,c_8,c_7
model_471,c_1,c_4,m_3,c_8
model_472,c_10,c_1,c_3,c_1
model_473,c_2,m_3,c_3,m_3
model_474,c_3,c_4,m_3,c_1
model_475,c_9,m_2,m_3,c_1
model_476,c_3,m_3,c_9,c_4
model_477,c_10,c_11,c_5,c_2
model_478,c_7,c_5,c_2,c_11
model_479,c_2,c_5,c_11,c_11
model_480,c_9,m_3,c_2,m_3
model_481,c_8,c_9,c_9,c_10
model_482,c_9,c_11,c_12,m_1
model_483,c_12,c_12,c_4,m_2
model_484,c_7,c_4,c_9,c_9
model_485,c_2,s,-,-
model_486,m_3,c_11,c_6,c_3
model_487,c_7,c_7,c_4,c_9
model_488,c_11,c_1,m_3,c_1
model_489,c_9,c_1,c_3,c_8
model_490,m_1,c_12,c_11,m_1
model_491,m_2,c_1,c_5,c_2
model_492,c_6,c_5,m_2,c_9
model_493,c_10,c_4,m_3,c_3
model_494,c_11,m_3,c_8,m_2
model_495,c_5,c_12,c_12,c_4
model_496,c_11,c_8,s,-
model_497,c_9,c_2,m_3,c_3
model_498,c_9,m_2,c_6,s
model_499,c_10,m_1,c_5,c_9
model_500,c_4,c_4,s,-
model_501,c_2,c_6,c_12,s
model_502,c_12,c_9,c_11,c_3
model_503,c_10,c_4,c_3,c_4
model_504,c_1,c_8,s,-
model_505,c_3,c_4,s,-
model_506,c_12,c_8,c_9,c_3
model_507,c_12,c_11,m_3,c_9
model_508,c_3,m_3,c_10,c_3
model_509,c_9,m_3,c_3,s
model_510,c_9,c_10,c_10,m_1
model_511,c_12,c_7,c_8,m_1
model_512,c_6,c_9,c_3,m_2
model_513,c_9,c_5,m_2,c_1
model_514,c_8,m_2,c_2,c_9
model_515,c_10,c_8,c_6,m_3
model_516,c_7,c_1,c_7,m_2
model_517,c_5,c_12,c_4,c_9
model_518,c_10,c_5,c_2,c_5
model_519,c_4,c_4,c_3,c_10
model_520,c_9,c_3,c_10,c_6
model_521,m_3,c_7,c_6,c_11
model_522,c_10,c_7,m_2,m_3
model_523,c_6,m_3,c_1,s
model_524,c_1,c_3,c_1,c_7
model_525,c_6,m_1,c_5,m_3
model_526,c_1,c_10,c_4,c_12
model_527,c_6,m_3,c_7,c_8
model_528,c_4,c_2,m_2,c_11
model_529,c_3,m_2,m_2,m_2
model_530,c_2,m_1,c_8,c_1
model_531,c_1,m_3,m_3,c_10
model_532,c_2,c_1,c_4,c_5
model_533,c_1,c_12,c_4,c_9
model_534,c_7,c_11,m_1,m_2
model_535,c_10,c_4,c_6,c_11
model_536,c_11,c_7,c_8,m_1
model_537,c_8,c_9,s,-
model_538,c_8,c_11,c_6,c_10
model_539,c_1,c_8,c_8,c_12
model_540,c_3,c_7,c_11,c_3
model_541,c_4,c_10,m_1,m_1
model_542,c_9,m_3,s,-
model_543,c_1,c_8,c_11,m_1
model_544,c_5,s,-,-
model_545,m_3,m_1,c_3,c_8
model_546,c_1,m_2,c_7,c_7
model_547,c_10,c_10,c_12,s
model_548,c_3,c_2,c_5,c_3
model_549,c_9,c_4,m_1,c_6
model_550,c_4,c_10,m_1,m_2
model_551,c_10,c_5,c_8,m_2
model_552,c_6,c_4,c_8,c_5
model_553,m_2,c_3,m_3,c_6
model_554,c_2,c_2,m_2,c_7
model_555,m_2,c_2,c_5,c_4
model_556,c_6,c_9,c_1,m_3
model_557,c_9,c_10,c_7,m_1
model_558,c_5,c_3,c_6,m_3
model_559,c_12,c_2,c_11,c_2
model_560,c_3,c_11,c_11,m_1
model_561,c_1,c_6,c_8,c_1
model_562,c_5,c_9,m_2,c_9
model_563,c_9,c_7,c_10,m_3
model_564,c_7,c_5,c_3,c_5
model_565,c_12,m_2,c_2,s
model_566,c_3,c_12,c_7,c_9
model_567,c_7,m_3,c_9,c_1
model_568,c_2,m_3,m_3,c_11
model_569,c_1,c_2,c_2,c_7
model_570,c_12,c_8,m_2,m_2
model_571,c_6,m_3,c_12,c_10
model_572,c_4,m_1,c_8,c_11
model_573,c_9,c_10,c_7,m_3
model_574,c_10,c_1,c_9,c_7
model_575,c_9,m_1,c_1,c_1
model_576,c_4,c_6,c_10,m_2
model_577,c_9,c_6,c_1,c_10
model_578,c_5,c_4,m_2,c_10
model_579,c_1,c_7,c_4,m_2
model_580,c_7,c_10,c_8,c_9
model_581,c_10,c_1,c_10,c_11
model_582,c_8,c_2,c_10,c_5
model_583,c_9,m_1,c_4,m_1
model_584,c_7,c_9,c_6,c_7
model_585,c_3,c_11,c_1,c_10
model_586,c_3,c_7,c_11,m_1
model_587,c_6,c_1,c_7,c_6
model_588,c_4,c_11,c_7,c_12
model_589,c_4,m_1,c_2,m_1
model_590,c_4,c_9,c_2,c_8
model_591,c_8,c_10,c_2,c_11
model_592,c_4,c_6,c_4,c_5
model_593,c_1,c_5,c_3,c_10
model_594,c_8,c_7,c_1,m_1
model_595,c_5,c_5,c_2,m_3
model_596,c_12,c_6,s,-
model_597,c_12,c_9,c_5,c_1
model_598,c_1,m_1,c_3,c_3
model_599,c_12,m_1,c_7,c_1
model_600,c_2,c_12,m_3,s
model_601,c_6,c_12,c_10,c_9
model_602,c_2,m_3,m_1,c_4
model_603,c_5,c_9,c_4,c_12
model_604,c_2,c_6,c_11,s
model_605,c_2,m_2,c_3,c_8
model_606,c_3,c_8,c_12,m_3
model_607,c_8,c_3,m_3,m_2
model_608,c_2,c_9,c_8,c_11
model_609,c_10,m_1,s,-
model_610,c_4,c_1,m_3,m_1
model_611,c_11,c_7,m_3,c_4
model_612,c_11,c_8,c_10,c_6
model_613,c_3,c_9,c_7,c_8
model_614,c_7,c_5,s,-
model_615,c_3,c_3,c_12,s
model_616,c_4,c_11,c_3,c_2
model_617,c_2,c_11,c_8,c_9
model_618,c_3,c_5,m_3,c_1
model_619,c_12,c_2,c_11,m_3
model_620,c_12,c_1,c_12,m_3
model_621,m_1,m_3,c_4,c_10
model_622,c_12,c_9,c_1,s
model_623,c_8,c_7,m_3,c_4
model_624,c_5,m_2,c_8,c_11
model_625,c_6,c_4,c_11,m_1
model_626,c_8,c_2,m_1,m_2
model_627,c_3,c_3,c_8,s
model_628,c_4,m_1,c_7,c_9
model_629,c_1,c_9,c_10,c_3
model_630,c_1,m_3,c_7,c_7
model_631,c_10,m_1,c_4,c_1
model_632,c_7,m_1,c_10,s
model_633,c_6,m_2,c_9,c_9
model_634,c_10,c_2,c_3,c_11
model_635,c_7,m_3,c_7,c_1
model_636,c_9,m_3,c_1,c_3
model_637,c_7,m_1,c_8,c_3
model_638,c_9,c_5,c_12,c_2
model_639,c_12,m_2,s,-
model_640,c_7,c_2,c_9,m_2
model_641,c_2,c_12,c_7,c_3
model_642,c_4,c_3,c_7,c_12
model_643,c_1,c_12,c_11,c_5
model_644,c_6,c_6,s,-
model_645,c_3,c_7,c_5,c_2
model_646,c_11,c_5,c_12,m_2
model_647,c_1,m_1,c_12,c_1
model_648,c_11,c_8,c_7,c_10
model_649,c_10,c_4,c_5,c_10
model_650,c_3,m_3,s,-
model_651,c_3,c_7,c_10,c_5
model_652,c_4,c_11,c_4,c_12
model_653,c_10,c_1,c_8,c_12
model_654,c_5,c_2,m_1,c_9
model_655,c_5,c_2,c_9,c_3
model_656,c_11,m_1,c_5,c_4
model_657,c_5,c_3,m_2,m_1
model_658,c_12,c_3,c_7,c_7
model_659,c_1,c_10,c_1,c_2
model_660,c_7,c_6,m_1,s
model_661,c_7,c_10,c_5,m_3
model_662,c_6,c_12,m_3,c_9
model_663,c_10,m_2,c_12,m_1
model_664,c_1,m_3,s,-
model_665,c_11,c_12,c_2,c_6
model_666,c_1,m_1,c_1,c_8
model_667,c_12,c_11,c_6,c_4
model_668,c_11,c_8,c_12,c_3
model_669,c_10,c_4,s,-
model_670,c_11,c_5,m_1,c_7
model_671,m_1,c_2,c_11,c_1
model_672,c_6,m_3,c_12,c_4
model_673,m_1,c_11,s,-
model_674,m_2,c_10,m_2,c_1
model_675,c_2,m_1,c_12,c_2
model_676,c_4,c_7,c_8,m_2
model_677,c_11,c_11,c_7,c_12
model_678,c_2,c_12,s,-
model_679,c_6,c_3,m_3,m_1
model_680,c_3,m_3,m_3,m_1
model_681,c_8,c_2,m_3,c_5
model_682,c_5,c_7,c_1,c_10
model_683,c_9,c_6,m_3,c_11
model_684,c_8,m_1,c_10,m_1
model_685,c_8,c_8,c_10,c_12
model_686,c_5,c_6,m_3,c_12
model_687,c_6,m_2,c_10,m_1
model_688,c_9,c_10,c_10,c_3
model_689,c_10,c_12,m_2,c_2
model_690,c_10,c_10,m_1,c_12
model_691,c_2,c_11,m_2,m_3
model_692,c_8,c_1,c_5,m_1
model_693,c_7,c_3,m_1,c_2
model_694,c_1,c_4,c_7,c_2
model_695,c_3,c_12,m_2,c_3
model_696,c_11,c_6,c_6,m_1
model_697,c_11,c_8,c_7,c_12
model_698,c_6,m_2,m_2,c_1
model_699,c_2,c_1,c_12,c_4
model_700,c_11,m_2,m_1,m_2
model_701,c_2,c_11,c_5,m_1
model_702,c_6,m_1,c_1,c_8
model_703,c_7,c_10,c_3,c_9
model_704,c_5,c_11,c_7,c_10
model_705,c_9,c_12,c_8,m_1
model_706,c_5,c_5,c_9,c_11
model_707,c_8,c_1,c_7,c_10
model_708,c_2,c_8,c_4,c_9
model_709,c_11,c_11,c_3,c_8
model_710,c_1,c_10,c_3,c_11
model_711,c_1,c_12,s,-
model_712,c_9,m_1,c_7,c_3
model_713,c_8,m_3,m_1,c_3
model_714,c_6,c_1,m_2,c_12
