Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_730,c_5,c_4,c_2,c_6,0.6882,0.9364967061
model_734,m_2,c_2,c_3,s,0.6809,0.9677875476
model_737,c_1,m_1,s,-,0.676,0.944533562
model_745,c_8,m_1,m_1,m_3,0.6981,0.9331337324
model_747,m_1,s,-,-,0.6512,1.0135904365
model_761,c_3,c_6,c_8,c_4,0.6805,0.9358321252
model_763,c_7,m_1,c_4,m_3,0.6938,0.8914270576
model_770,c_10,s,-,-,0.6754,0.9523593212
model_775,c_4,m_2,c_7,s,0.6748,0.9364830389
model_786,c_7,c_10,m_2,s,0.6695,0.990557504
model_787,c_4,m_2,m_3,m_1,0.6439,1.06844548
model_793,c_5,c_9,c_8,c_6,0.6977,1.006590204
model_801,m_2,s,-,-,0.6593,0.994035325
model_805,c_6,c_7,c_2,c_8,0.6978,0.8844993793
model_808,c_8,c_11,c_4,c_9,0.6944,1.1505332062
model_810,c_3,c_2,c_2,s,0.6632,1.0329476385
model_814,m_2,c_9,c_8,m_1,0.6968,0.8861066705
model_825,c_4,c_5,c_2,c_2,0.6904,0.8888825918
model_831,c_1,m_1,m_2,m_2,0.6908,0.9568412893
model_835,m_3,c_9,c_2,c_1,0.6602,0.9961773536
model_839,c_4,m_1,m_1,c_5,0.6768,0.9115274363
model_840,m_1,c_7,m_1,m_2,0.6084,1.1114373125
model_856,c_1,c_7,c_6,m_1,0.6901,0.8819712093
model_858,c_7,c_9,c_4,c_7,0.6981,0.8792106594
model_860,c_5,c_4,c_12,c_5,0.697,0.9216766314
model_861,c_2,c_4,c_5,c_11,0.677,0.9576203646
model_862,m_3,m_2,c_4,c_6,0.6234,1.0578886854
model_866,c_6,m_1,c_5,m_2,0.6891,0.8907530497
model_867,c_1,c_1,c_7,m_2,0.6733,0.986167788
model_882,c_7,c_1,c_7,c_4,0.6818,0.9459944359
model_888,m_1,c_7,s,-,0.6656,0.9976154846
model_889,c_2,c_2,c_2,s,0.6957,0.9020025613
model_898,c_3,c_2,c_5,c_3,0.6988,0.8507229376
model_910,c_8,c_7,c_11,s,0.677,0.9587247545
model_912,c_8,c_5,c_10,m_2,0.6538,1.076403323
model_918,c_5,c_6,m_2,c_10,0.6898,0.8871242945
model_922,c_2,m_3,m_3,c_3,0.6894,0.8940310575
model_925,c_2,c_10,c_3,c_3,0.6998,0.8970582949
model_932,c_10,c_6,s,-,0.6832,0.9411972136
model_934,c_3,c_6,c_7,c_3,0.6891,0.9219808903
model_937,c_7,c_10,c_2,m_2,0.6946,0.8837661983
model_940,m_1,m_1,c_2,c_1,0.6393,1.0189261709
model_941,c_3,c_3,c_1,c_1,0.6986,0.8733334018
model_943,c_12,c_7,s,-,0.6822,0.9580085474
model_953,c_3,c_10,s,-,0.6918,0.8943730098
model_954,c_4,c_11,c_7,c_6,0.6841,0.9230426995
model_958,c_2,c_1,m_1,c_4,0.692,0.9098018772
model_965,c_1,m_3,s,-,0.6909,0.8929813507
model_967,c_10,m_1,c_10,s,0.6971,0.9175896715
model_969,c_4,c_3,m_1,m_2,0.6926,0.8925090699
model_989,m_2,c_7,c_7,c_8,0.6739,1.0677077041
model_990,c_11,c_7,c_1,c_2,0.6658,0.9714187502
model_997,c_10,c_11,s,-,0.6941,0.8768072932
model_998,c_6,c_7,s,-,0.6826,0.943082867
model_1013,c_3,m_1,m_3,m_2,0.6727,0.9922747056
model_1016,c_6,c_10,c_11,c_10,0.6819,0.9516145125
model_1022,c_5,c_1,m_1,c_4,0.6894,0.9263687606
model_1023,c_5,c_6,c_10,m_1,0.6463,1.014169668
model_1036,c_6,c_11,c_4,s,0.6939,0.8879109629
model_1043,c_2,s,-,-,0.6899,0.9436688982
model_1057,c_3,c_2,s,-,0.6847,0.9131773911
model_1067,c_4,c_2,c_10,c_11,0.6584,1.0560155879
model_1069,c_4,m_3,m_2,m_3,0.5526,1.3038624155
model_1070,m_1,c_6,m_2,c_6,0.6966,0.8887520419
model_1079,m_3,s,-,-,0.6285,1.0551832995
model_1080,c_4,m_1,m_3,m_3,0.5778,1.2357211792
model_1096,c_5,c_7,c_11,c_5,0.6988,0.9919764143
model_1104,c_6,c_2,c_10,c_10,0.6894,0.9099614474
model_1119,c_7,c_1,c_7,c_1,0.6576,0.986411654
model_1132,c_2,m_2,s,-,0.6895,0.9105828119
model_1135,c_4,m_1,m_2,m_3,0.6604,1.0681402695
model_1139,c_1,c_12,c_2,m_2,0.6765,0.9543789308
model_1159,m_1,c_2,m_2,c_3,0.6709,0.958640064
model_1160,c_5,c_10,c_10,c_5,0.6959,0.9025020225
model_1161,c_1,c_4,c_7,s,0.6982,0.9022400461
model_1209,c_3,c_4,s,-,0.6763,0.9493582614
model_1221,c_11,c_5,s,-,0.6822,0.9308737949
model_1224,c_2,c_1,c_10,c_1,0.6883,0.961369349
model_1227,c_11,c_10,c_9,c_8,0.6926,0.9225399631
model_1233,c_4,c_4,c_1,c_11,0.6834,0.9165400075
model_1237,m_2,c_3,c_10,c_10,0.698,0.903680333
model_1248,c_5,c_2,s,-,0.6989,0.905645361
model_1250,c_6,c_5,m_1,c_5,0.6853,0.9054485934
model_1253,c_5,c_1,c_5,m_1,0.6982,0.8836503705
model_1259,c_3,c_10,s,-,0.677,0.94104785
model_1264,m_1,m_2,m_2,s,0.6384,1.1126739889
model_1269,m_1,s,-,-,0.6611,1.0020152681
model_1270,c_5,m_1,m_1,c_7,0.6888,0.8970728025
model_1277,c_3,m_1,c_4,m_1,0.6682,0.9526095943
model_1281,c_6,s,-,-,0.6819,0.9241568215
model_1283,c_1,c_1,c_6,m_2,0.6936,0.8841885487
model_1288,c_4,s,-,-,0.6674,0.982574985
model_1289,c_8,c_10,c_1,s,0.6858,0.9163251427
model_1291,c_3,c_6,m_1,c_1,0.6936,0.8744956475
model_1301,c_7,c_4,c_6,m_3,0.6926,0.9162213668
model_1307,c_11,c_1,s,-,0.6999,0.8998106122
model_1308,c_7,c_7,c_7,c_7,0.6966,0.8779564311
model_1309,c_7,c_10,m_3,c_1,0.6976,0.8615250936
model_1311,c_8,s,-,-,0.6822,0.9504524675
model_1312,c_6,c_3,c_11,c_10,0.6909,0.8990293966
model_1315,c_6,c_4,s,-,0.6979,0.9253407131
model_1322,c_8,m_1,s,-,0.68,0.9205444848
model_1330,c_1,s,-,-,0.6812,0.9313422739
model_1338,c_7,c_1,m_2,c_4,0.6615,0.9717823845
model_1349,m_1,c_12,m_2,m_1,0.663,0.9834420828
model_1350,c_5,m_3,m_3,c_8,0.6832,0.9051383657
model_1364,c_2,c_10,c_1,c_1,0.6954,0.9171999553
model_1377,c_7,c_2,c_8,c_5,0.6981,0.9728408538
model_1378,c_7,c_1,c_1,c_3,0.6975,0.8740177925
model_1381,c_2,c_9,c_6,m_3,0.6976,0.8685546437
model_1383,c_4,c_5,s,-,0.6912,0.9262933929
model_1387,c_2,c_5,m_2,c_4,0.6878,0.8909885422
model_1394,c_12,c_3,m_2,c_4,0.6795,0.9449462391
model_1395,c_3,s,-,-,0.6339,1.0388853609
model_1410,c_5,m_2,c_2,c_7,0.677,0.9405006981
model_1413,c_5,c_1,c_11,c_12,0.6921,1.0064270259
model_1414,c_9,c_5,c_6,c_9,0.6985,0.8966705333
model_1420,c_5,c_6,c_1,c_2,0.6712,1.0857942703
model_1430,c_6,m_1,m_3,c_1,0.6993,0.8616221766
model_1431,c_8,c_1,s,-,0.6837,0.9234298874
model_1439,c_7,c_4,s,-,0.6994,0.8946182781
model_1443,c_4,c_2,c_6,c_12,0.6993,0.9195123248
model_1453,m_3,c_2,c_5,s,0.6294,1.0746108093
model_1456,c_2,c_3,s,-,0.6941,0.8869233299
model_1460,c_10,m_2,s,-,0.6796,0.9340165803
model_1469,c_3,c_11,c_10,c_11,0.6957,0.9301555909
model_1470,c_1,c_5,c_6,c_10,0.6783,1.0345636516
model_1472,c_1,m_1,c_8,m_3,0.6787,0.9079682665
model_1474,c_5,c_7,s,-,0.6907,0.9214626517
model_1476,c_7,c_3,c_4,c_1,0.6898,0.9743032393
model_1477,c_12,c_1,c_5,c_6,0.6807,0.9331054158
model_1479,c_10,m_1,s,-,0.6759,0.9399099034
model_1488,c_3,c_3,c_3,m_1,0.6889,0.9051184727
model_1490,c_1,c_6,s,-,0.684,0.9598099155
model_1491,c_5,c_11,c_11,c_4,0.6983,0.8822168702
model_1492,m_3,c_9,c_11,s,0.6876,0.9220042838
model_1496,c_4,c_4,m_2,c_4,0.6799,0.9471903784
model_1503,m_2,c_9,c_3,s,0.6951,0.9190976753
model_1512,c_7,c_10,s,-,0.654,1.0063685571
model_1516,c_3,c_8,s,-,0.6909,0.9200919061
model_1520,c_9,c_7,s,-,0.6685,0.995799735
model_1524,c_3,c_4,c_9,c_6,0.6755,0.9259553222
model_1525,c_4,c_5,c_10,c_11,0.685,0.9344112871
model_1527,c_6,c_7,c_2,c_1,0.6972,0.8970665266
model_1542,m_3,c_2,c_8,m_2,0.6998,0.8820414795
model_1547,c_10,s,-,-,0.6805,0.9376375954
model_1548,m_1,c_3,m_2,s,0.6867,0.9185542938
model_1561,c_3,c_3,c_1,c_1,0.6979,0.889772583
model_1570,c_4,c_7,m_1,c_4,0.6939,0.8848832094
model_1571,c_5,m_2,m_3,m_1,0.6797,0.9699206633
model_1587,c_1,c_2,c_5,c_10,0.696,0.9044849621
model_1593,m_2,m_2,c_4,c_6,0.5937,1.1657395552
model_1600,c_12,c_7,s,-,0.6914,0.9043684228
model_1601,c_5,c_7,c_4,c_1,0.6426,1.021962195
model_1609,c_6,c_4,m_2,s,0.6893,0.9090478106
model_1614,c_8,s,-,-,0.6789,0.963030154
model_1615,c_8,c_9,m_1,m_2,0.6974,0.8943244023
model_1616,c_5,c_12,s,-,0.6945,0.8975676877
model_1625,m_1,c_6,c_8,c_10,0.6903,0.905122327
model_1630,c_3,s,-,-,0.6919,0.9615441473
model_1639,c_1,s,-,-,0.6678,0.9662022907
model_1641,c_4,s,-,-,0.6725,0.976548843
model_1646,c_11,c_2,c_8,m_3,0.6865,0.9093677519
model_1653,c_5,c_11,c_5,m_2,0.6924,0.9003827227
model_1659,m_2,s,-,-,0.6803,0.9349732291
model_1663,c_4,c_6,c_4,c_4,0.6641,0.9854546788
model_1680,c_9,s,-,-,0.6974,0.8855017164
model_1684,c_6,c_4,c_5,c_1,0.6886,0.9118706909
model_1694,c_3,c_12,c_3,m_2,0.6993,0.8715523683
model_1701,c_9,c_2,s,-,0.6967,0.9190055837
model_1706,m_3,c_9,m_2,c_7,0.6893,0.9040868711
model_1707,c_4,c_5,c_6,c_2,0.6987,0.8785711677
model_1710,c_3,c_1,s,-,0.6814,0.9249943755
model_1718,m_1,c_6,c_8,c_3,0.6942,0.9627035814
model_1737,c_3,m_1,s,-,0.6999,0.8752735862
model_1739,c_4,c_4,s,-,0.6951,0.8795756104
model_1747,c_1,m_1,s,-,0.6764,0.9437147076
model_1767,m_3,m_1,c_1,c_9,0.6263,1.0576677496
model_1776,c_9,c_4,c_6,c_7,0.6987,0.9038899781
model_1785,c_10,c_6,c_2,c_9,0.6974,0.9215304744
model_1789,c_1,c_10,c_8,c_3,0.6683,0.9963452749
model_1790,c_4,c_10,s,-,0.6947,0.8927841838
model_1794,c_3,c_10,c_4,s,0.6881,0.9133847972
model_1802,m_3,c_12,c_1,c_5,0.6786,0.9605158808
model_1812,c_4,c_1,c_7,c_2,0.6979,0.8998645809
model_1818,c_4,c_5,c_7,c_7,0.6847,0.9220500547
model_1858,m_2,m_1,c_1,m_1,0.607,1.1341683391
model_1863,m_2,c_8,m_3,s,0.6891,0.897268104
model_1869,m_3,c_10,c_8,c_4,0.6754,0.984139538
model_1870,c_2,c_7,s,-,0.6795,0.9224383629
model_1875,m_2,c_1,c_1,c_2,0.6311,1.2002870167
model_1880,m_3,c_7,c_8,m_2,0.6871,0.8949398999
model_1883,c_1,c_10,s,-,0.6817,0.9192839398
model_1897,m_1,s,-,-,0.6378,1.0338901164
model_1914,c_4,c_9,c_2,c_8,0.6914,0.9277446179
model_1920,m_3,m_3,c_5,m_2,0.5342,1.3067746466
model_1928,c_11,c_11,m_1,c_11,0.6998,0.8697606649
model_1934,c_4,m_2,m_3,c_6,0.6772,0.922512601
model_1936,c_6,c_4,s,-,0.684,0.9104518469
model_1948,c_3,c_10,s,-,0.6932,0.9114505952
model_1954,c_5,c_7,m_1,c_6,0.6854,0.8992909583
model_1955,c_9,c_4,c_11,c_8,0.6997,0.9160119887
model_1967,c_6,c_1,s,-,0.6989,0.9241754257
model_1975,m_3,c_7,c_9,c_11,0.6365,1.0793765797
model_2001,c_1,m_3,s,-,0.6825,0.9128889497
model_2003,c_4,c_1,c_1,s,0.6881,0.9360820225
model_2005,c_5,c_2,c_8,s,0.6918,0.9082117249
model_2011,m_2,c_6,c_10,c_9,0.6965,0.9214706943
model_2017,m_1,c_7,c_8,c_9,0.6833,1.0054539566
model_2018,m_2,c_8,c_7,c_9,0.6701,1.0874775204
model_2021,c_4,c_4,c_4,m_2,0.6906,0.9007377826
model_2026,m_2,c_2,m_3,c_1,0.664,0.9614282671
model_2030,m_2,c_5,c_1,m_3,0.6769,0.9062569159
model_2031,c_3,c_7,c_4,c_4,0.6708,0.9786352192
model_2039,m_3,c_2,c_1,c_10,0.6857,1.0123296763
model_2040,c_1,c_1,c_6,c_7,0.6963,0.9306928176
model_2045,c_9,m_3,m_1,m_1,0.6984,0.8625837483
model_2061,m_1,m_3,c_7,m_3,0.552,1.2728513615
model_2067,c_4,c_9,s,-,0.6838,0.9314932038
model_2069,m_2,c_10,c_3,c_4,0.6444,1.0837676756
model_2078,c_1,m_3,m_1,c_2,0.6749,0.9174305727
model_2083,m_2,m_2,c_3,s,0.6455,1.0171247874
model_2086,c_1,c_7,c_10,c_1,0.6991,0.8663984941
model_2096,c_7,c_2,c_7,c_6,0.6981,0.912731099
model_2103,c_2,c_4,c_11,m_1,0.6933,0.9195014967
model_2104,m_1,c_7,c_3,m_3,0.6766,0.9229917606
model_2107,c_2,c_11,m_1,c_7,0.6802,0.9321431792
model_2108,m_1,c_2,c_4,c_12,0.6884,0.959003474
model_2117,m_1,c_1,c_2,c_9,0.6695,1.0688908118
model_2119,m_3,c_6,c_11,c_6,0.6855,1.005826171207428
